"coreID","site","month","Afruca_tangeri","Alpheidae","Ampelisca_sp","Amphinomidae","Amphipoda1","Amphipoda2","Amphipoda4","Amphipodatigre","Anthuridae","Apseudomorpha","Arcopsis_afra","Arcuatula_elegans","Arenicolidae","Armandia_sp","Austromacoma_nymphalis","Balsscallichirus_balssi","Bivalvia","Bivalvia_B1","Bulla_sp","Callinectes_marginatus","Capitellidae","CarideaA","Cirolanidae","Cirratulidae","Cochliolepis_sp","Corbula_cadenati","Corbula_chudeaui","Corbula_laticostata","Cryptomya_africana","Cumacea","Cuspidaria","Cylichnidae","Decapoda","Diopatra_sp","Diplodonta1_sp","Diplodonta_dautzenbergi","Divaricella_chavani","Eunicidae","Glycera_sp","Goniadopsis_sp","Grandidierella_sp","Haminoea_sp","Hyala_sp","Hydrobiidae","Invasora2","Keletistes_sp","Lamylucina_gaini","Lamysia_jousseaumei","Leocrates_sp","Lumbrineridae","Magelona_cincta","Malacostraca","Maldanidae","Marphysa_sanguinea","Menippe_nodifrons","Moerella_distorta ","Mysella_sp","Nephtyidae","Nereididae","Newspbiv","Oenonidae","Orbiniidae","Paraonidae","Pattela","Pelecyora_isocardia","Phyllodocida1","Pilargidae1","Pinnotheridae","Polychaeta_errantia","Polychaeta_sedentaria","Prionospio_sp","Prunum_sp","Pseudopythina_nicklesi","Senilia_senilis","Sigalion_sp","Sigambra_sp","Skeneidae","Solariella_sp","Spiochaetopterus","Syllinae","Tagelus_adansonii","Terebellidae","Terebridae","Turritella_sp","bitipocombe"
"C15T2","AD",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327.43362831858,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C16T0","AD",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.982300884956,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,0,0,0
"C16T1","AD",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530.973451327434,0,0,0,0,0,353.982300884956,0,0,1769.91150442478,0,0,0,0,0,0,0,0,0,0,0,176.991150442478,0,0,88.4955752212389,0,0,0,176.991150442478,0,0,0,0,0,0,0,0,0,619.469026548673,0,0,0,0,0,0,0,0,442.477876106195,265.486725663717,0,884.955752212389,0,0,0,0,265.486725663717,0,0,0,0,0,0,0,0,0,88.4955752212389,265.486725663717,0,0,0,0
"C16T2","AD",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504.42477876106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061.94690265487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C21T1","AD",3,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,88.4955752212389,0,0,0,0,0,176.991150442478,0,0,619.469026548673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,176.991150442478,0,176.991150442478,88.4955752212389,0,0,88.4955752212389,0,0,0,176.991150442478,0,0,0,0,88.4955752212389,0,1238.93805309735,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,88.4955752212389,88.4955752212389,0,0,0,0
"C21T2","AD",10,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,0,0,0,2920.35398230089,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,88.4955752212389,88.4955752212389,0,0,0,0,88.4955752212389,0,88.4955752212389,0,0,0,88.4955752212389,0,0,442.477876106195,0,0,0,0,0,88.4955752212389,0,0,88.4955752212389,88.4955752212389,0,1238.93805309735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.991150442478,0,0,0,0,0
"C22T0","AD",10,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,796.460176991151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,88.4955752212389,0,0,2743.36283185841,0,0,0,0,0,0,0,0,0,265.486725663717,0,442.477876106195,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0
"C22T1","AD",3,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,265.486725663717,0,0,0,0,0,88.4955752212389,0,0,353.982300884956,0,0,0,0,0,0,0,0,0,0,0,176.991150442478,0,0,176.991150442478,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,0,0,0,796.460176991151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530.973451327434,0,0,0,0
"C22T2","AD",10,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,176.991150442478,0,0,0,0,0,0,973.451327433628,0,0,0,0,0,88.4955752212389,0,0,0,0,0,1504.42477876106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C23T2","AD",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477.87610619469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.991150442478,0,0,0,0,0,0,619.469026548673,88.4955752212389,0,0,0,0,0,0,0,0,265.486725663717,0,884.955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,353.982300884956,0,0,0,0
"C24T0","AD",10,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,265.486725663717,0,0,0,0,0,0,0,0,265.486725663717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.982300884956,0,0,0,0,0,0,0,88.4955752212389,176.991150442478,176.991150442478,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C24T1","AD",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.991150442478,0,0,0,0,0,353.982300884956,0,0,796.460176991151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,265.486725663717,0,88.4955752212389,0,0,88.4955752212389,0,0,0,0,0,176.991150442478,0,0,0,0,0,884.955752212389,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,442.477876106195,0,0,0,0
"C24T2","AD",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,0,0,2743.36283185841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0,0,265.486725663717,0,0,0,0,0,0,530.973451327434,88.4955752212389,0,0,0,0,0,0,0,0,88.4955752212389,0,1592.9203539823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4955752212389,0,0,0,0,0
